Z,D,Y,M,Q
1,0,1,1,45.0
1,1,1,1,8.0
1,1,0,0,83.0
1,1,1,1,1.0
1,0,1,0,6.0
1,1,1,0,1.0
1,0,1,1,19.0
1,1,0,0,
1,0,1,0,48.0
1,1,1,0,40.0
1,0,1,0,24.0
1,1,1,0,1.0
1,0,0,0,31.0
1,1,1,1,286.0
1,0,1,1,62.0
1,0,1,0,526.0
1,0,0,0,43.0
1,1,1,0,8.0
1,0,1,0,
1,0,1,0,35.0
1,0,1,0,
1,0,1,0,
1,0,0,0,
1,0,1,0,
1,0,1,0,71.0
1,0,1,0,56.0
1,0,1,0,41.0
1,1,1,0,33.0
1,0,1,0,
1,1,1,0,
1,0,1,0,34.0
1,0,1,0,10.0
1,0,1,0,
1,0,0,0,
1,1,1,0,31.0
1,0,0,1,89.0
1,0,1,0,
0,0,1,1,
1,0,1,0,15.0
1,1,0,0,50.0
1,0,1,0,4.0
1,0,1,1,16.0
1,0,1,1,
1,0,1,0,67.0
1,1,0,1,1.0
1,0,1,0,
1,1,0,1,17.0
1,0,0,1,171.0
1,1,1,1,4.0
1,1,1,0,37.0
1,0,0,0,161.0
1,0,1,1,20.0
1,0,0,1,32.0
1,0,0,0,602.0
1,0,1,0,52.0
1,1,1,0,57.0
0,0,1,0,
1,1,1,0,2.0
1,1,1,1,
1,0,1,0,
1,1,1,0,168.0
1,1,0,1,57.0
1,1,1,1,24.0
1,0,1,0,7.0
0,0,0,1,14.0
1,0,0,0,
1,0,1,1,26.0
1,0,0,0,18.0
1,0,1,1,
1,0,0,0,41.0
1,1,1,0,
1,0,0,0,19.0
1,0,1,0,
1,0,0,0,7.0
1,1,1,0,16.0
1,0,1,0,20.0
1,0,1,0,18.0
1,0,1,1,6.0
0,1,1,0,5.0
1,0,1,0,
1,0,1,1,
1,0,1,0,
1,0,1,0,
1,0,1,1,
1,0,1,0,
1,0,0,1,13.0
1,0,1,0,
1,0,1,1,90.0
1,0,0,0,204.0
1,0,1,0,
1,0,1,1,42.0
1,1,1,0,53.0
1,0,1,0,
1,1,1,0,1.0
1,0,1,1,139.0
1,0,1,0,64.0
1,1,1,0,239.0
1,0,1,0,
1,0,1,0,36.0
1,0,1,1,14.0
0,0,1,0,151.0
1,0,1,0,
1,0,1,0,24.0
1,0,1,0,17.0
1,0,0,0,45.0
1,1,1,0,46.0
1,1,1,1,
1,0,1,0,88.0
1,0,0,0,
1,0,1,0,11.0
1,0,1,0,
0,0,0,0,356.0
1,0,0,0,11.0
1,0,1,1,
1,0,0,0,
1,0,1,0,
0,1,0,1,82.0
1,1,1,0,109.0
1,0,0,0,50.0
1,0,0,0,
1,0,1,0,
1,0,0,0,
1,0,1,1,92.0
1,0,1,0,139.0
1,0,0,0,
1,1,0,0,6.0
1,1,0,0,18.0
1,1,1,0,27.0
1,0,1,0,
1,0,0,0,45.0
1,1,0,1,16.0
1,0,0,0,103.0
1,0,1,1,171.0
1,1,1,1,299.0
1,0,1,0,89.0
0,1,1,0,345.0
0,0,1,0,
1,0,1,1,
1,0,1,1,147.0
0,0,0,0,
1,1,1,0,37.0
1,0,1,1,48.0
1,1,1,0,5.0
1,0,0,0,10.0
1,1,0,1,18.0
1,1,1,0,8.0
1,0,1,0,
1,1,1,1,17.0
1,0,0,0,
1,0,1,0,6.0
1,0,1,1,281.0
1,0,1,1,
1,1,1,1,18.0
1,0,1,0,7.0
1,0,0,0,
1,0,1,0,
1,0,1,0,
1,0,1,0,
1,0,0,0,48.0
1,0,0,0,78.0
1,0,1,1,
1,1,1,0,
1,0,1,0,
1,1,1,1,
1,1,1,1,10.0
1,0,1,0,
1,0,1,0,248.0
1,1,1,1,82.0
1,0,1,0,
1,1,0,1,1.0
1,1,0,0,24.0
1,0,1,1,
0,0,1,1,122.0
1,0,1,1,67.0
1,0,1,1,20.0
1,0,0,0,
1,0,1,0,41.0
1,0,0,0,
1,0,1,0,25.0
1,1,1,0,43.0
1,0,1,0,239.0
1,0,0,0,
1,0,0,0,
1,0,0,0,
1,0,1,1,
1,0,1,0,46.0
1,0,1,0,60.0
1,1,1,1,1.0
1,1,1,0,75.0
1,1,1,1,13.0
1,0,1,1,
1,1,0,0,21.0
1,1,1,1,17.0
1,1,1,0,25.0
1,0,1,0,353.0
1,1,1,0,32.0
1,1,1,0,12.0
1,0,1,0,
1,1,1,1,9.0
1,0,1,0,
1,1,1,0,2.0
1,0,1,0,
1,0,1,0,19.0
1,0,1,0,
1,0,1,1,96.0
1,0,1,1,7.0
1,0,0,0,358.0
1,1,1,1,
1,1,1,1,83.0
1,0,1,1,
1,0,1,0,
1,0,1,0,
1,0,1,0,
1,0,1,1,
1,0,1,0,8.0
1,0,1,1,25.0
1,0,1,1,
1,0,1,1,611.0
1,0,1,0,4.0
1,0,1,1,532.0
1,0,1,0,
1,0,1,1,104.0
1,1,1,0,51.0
1,0,1,0,
1,0,1,1,
1,0,1,0,5.0
1,0,1,1,4.0
1,0,1,0,
1,0,0,1,
1,1,1,1,75.0
1,0,0,1,26.0
1,0,1,0,
1,0,0,0,319.0
1,0,1,1,
1,0,1,1,120.0
1,1,1,0,140.0
0,0,1,1,66.0
1,0,1,0,137.0
1,0,0,0,
1,0,1,0,
1,1,1,0,8.0
0,0,1,1,
1,0,1,0,
1,1,1,0,61.0
1,1,0,1,39.0
1,0,1,1,
1,0,1,1,21.0
1,1,1,0,
1,1,0,0,3.0
1,0,1,0,
1,0,0,0,
1,0,1,0,46.0
1,0,1,0,
1,0,0,0,
0,0,1,0,63.0
1,1,1,0,75.0
1,0,1,1,
1,0,1,0,39.0
1,0,0,0,24.0
1,1,1,0,25.0
1,1,1,0,6.0
1,0,0,0,
1,0,0,1,241.0
1,0,0,0,34.0
1,0,1,0,41.0
1,0,0,0,
1,0,1,0,85.0
1,0,1,1,14.0
1,1,1,0,
1,1,1,1,6.0
1,1,1,1,2.0
1,0,1,0,5.0
1,0,1,1,94.0
1,0,0,0,
1,0,1,0,44.0
1,1,1,1,316.0
1,0,1,0,707.0
1,1,1,0,18.0
1,0,1,0,
1,0,0,0,
0,0,0,0,1.0
0,0,1,0,
1,0,0,0,
1,1,1,1,29.0
1,1,0,0,266.0
1,0,1,1,46.0
1,0,1,1,50.0
0,0,0,1,9.0
1,0,1,0,40.0
1,0,1,0,
1,0,1,0,
1,0,1,0,
1,0,1,1,
1,0,1,0,
1,0,1,1,
1,0,1,0,
1,0,1,0,
1,1,1,0,122.0
1,1,1,1,98.0
1,1,1,0,20.0
1,0,1,0,
1,0,1,0,
1,0,1,1,46.0
1,0,0,0,
1,1,0,0,39.0
1,1,1,0,
1,0,0,0,56.0
1,0,1,0,
1,0,0,0,
1,0,0,0,23.0
1,1,1,1,98.0
1,1,1,1,67.0
1,1,1,1,23.0
1,1,1,1,4.0
1,1,1,0,1.0
1,0,0,0,
1,0,0,1,
1,0,1,0,
1,1,1,0,10.0
1,1,1,0,12.0
1,1,1,0,
1,1,1,1,14.0
1,1,1,0,11.0
1,0,1,0,44.0
1,0,1,1,18.0
1,1,1,0,100.0
1,1,1,0,9.0
1,0,1,0,
1,0,1,0,
1,0,1,0,
1,0,1,0,
1,0,1,0,
1,1,1,0,59.0
1,0,1,0,
1,1,1,0,64.0
1,1,1,0,
1,0,1,0,
1,0,1,0,
1,0,1,0,
1,0,1,0,
1,1,1,0,13.0
1,1,1,0,
1,1,1,1,79.0
1,0,1,0,
1,0,0,0,
1,1,1,0,13.0
1,0,1,0,24.0
1,1,1,0,22.0
1,1,1,0,51.0
1,1,1,1,
1,0,1,0,
1,1,1,0,120.0
1,1,1,0,20.0
1,1,1,0,80.0
1,0,1,0,218.0
1,0,1,0,
0,0,0,0,
1,0,1,0,90.0
1,0,1,0,
1,0,1,0,
1,0,1,0,
1,1,1,0,2.0
1,0,0,1,
1,1,1,1,
1,0,1,1,
1,0,1,0,41.0
0,0,0,1,103.0
1,0,0,1,823.0
1,0,1,0,
1,1,1,0,59.0
1,0,1,0,27.0
1,0,1,1,144.0
1,0,1,1,383.0
1,0,0,0,
0,1,1,0,
1,0,1,1,
1,0,1,0,20.0
1,0,1,0,49.0
1,0,0,0,
1,0,1,1,6.0
1,1,1,0,25.0
1,0,1,0,101.0
1,0,1,1,
1,0,1,1,
0,1,0,1,312.0
1,0,0,0,
0,0,1,0,
1,0,1,0,47.0
0,1,1,0,370.0
1,0,1,1,
1,0,1,0,
1,0,0,0,75.0
1,0,1,0,1.0
1,0,0,0,19.0
1,1,0,0,13.0
1,0,1,0,10.0
1,0,1,1,
1,0,1,0,16.0
1,0,0,0,82.0
1,0,1,0,159.0
1,0,1,0,
1,0,1,0,
1,0,1,0,
1,0,1,0,5.0
1,1,1,0,2.0
1,0,1,0,34.0
1,0,0,0,
1,1,1,0,5.0
1,0,1,0,113.0
1,0,1,1,36.0
1,0,1,0,
1,0,1,1,
1,1,1,0,73.0
1,0,1,1,
1,0,0,0,169.0
1,1,1,1,58.0
1,0,0,0,
1,0,0,0,
1,1,0,1,222.0
1,0,1,1,
1,0,1,1,2.0
1,0,0,0,72.0
1,1,1,0,
1,0,0,0,53.0
1,0,1,0,
1,1,0,0,361.0
1,1,1,1,146.0
1,0,1,1,63.0
1,0,1,0,87.0
1,0,1,0,
1,0,1,0,
1,0,0,0,649.0
1,0,0,0,40.0
1,1,1,1,
1,0,0,0,
1,0,1,1,278.0
1,0,1,1,
1,1,1,0,51.0
1,0,1,0,
1,0,1,0,9.0
1,1,1,1,13.0
1,0,0,1,15.0
1,0,1,0,
1,0,0,0,42.0
1,0,1,0,
1,0,0,0,142.0
1,0,1,0,
1,0,1,1,
1,1,1,0,15.0
1,0,0,0,
1,1,0,1,6.0
1,0,1,0,112.0
1,1,1,0,22.0
1,0,1,0,258.0
1,0,1,1,
1,0,1,0,
1,0,1,0,9.0
1,0,1,1,113.0
1,0,1,0,175.0
1,1,0,0,13.0
1,0,1,0,
1,0,1,0,191.0
1,1,1,0,71.0
1,0,1,0,
1,0,1,0,
1,0,0,0,
1,0,1,0,
1,0,1,0,
1,1,1,0,31.0
1,0,1,0,
1,0,0,0,
1,1,1,0,17.0
1,1,1,0,114.0
1,1,0,0,95.0
1,1,1,0,20.0
0,0,1,0,
1,0,1,0,
1,1,1,0,38.0
1,0,1,0,72.0
1,0,1,0,164.0
1,0,1,0,3.0
1,0,1,0,
1,0,0,0,73.0
1,0,1,0,
1,0,1,0,1.0
1,0,0,1,
1,0,1,0,56.0
1,0,1,0,
1,0,1,1,53.0
1,0,1,0,91.0
1,1,1,1,35.0
1,0,0,0,
0,0,1,1,
1,1,0,0,1.0
1,0,1,0,
1,0,0,0,93.0
1,0,1,0,73.0
1,0,1,0,
1,1,0,0,7.0
1,0,1,0,134.0
1,0,1,1,26.0
0,0,1,1,23.0
1,1,1,1,16.0
1,1,1,1,5.0
1,0,1,1,
1,0,0,0,
1,0,1,0,
1,0,1,0,
1,0,1,0,
1,0,1,1,
1,0,1,0,2.0
1,0,1,0,
1,0,1,0,
1,1,1,0,3.0
1,0,1,0,269.0
1,0,0,0,
1,0,1,0,33.0
1,0,1,0,
1,1,1,1,20.0
1,1,1,1,5.0
1,0,0,0,166.0
1,0,0,1,
1,0,1,1,18.0
1,1,0,0,69.0
1,0,1,0,
1,0,0,0,66.0
1,0,1,1,68.0
1,0,1,1,
1,0,0,0,
1,0,0,0,
0,0,1,0,25.0
1,0,1,0,73.0
1,0,1,0,
1,0,0,1,
1,1,0,0,
1,0,1,1,74.0
1,1,1,1,2.0
1,0,1,0,8.0
1,0,1,0,33.0
1,0,0,0,14.0
1,0,1,0,3.0
1,0,1,0,46.0
1,0,0,1,
1,1,1,0,42.0
1,0,0,0,
1,0,1,0,
1,0,0,0,
0,0,1,0,
0,0,1,0,
1,1,1,0,21.0
1,0,1,0,
1,1,1,0,5.0
1,0,0,1,446.0
1,0,1,0,
1,1,1,0,79.0
1,0,1,0,
1,0,1,0,
1,0,1,1,77.0
1,1,1,0,136.0
1,0,0,0,43.0
1,0,0,0,
1,0,0,0,
0,0,1,1,
1,1,0,1,10.0
1,0,0,1,60.0
1,0,0,0,
1,0,0,0,
1,0,1,1,58.0
1,0,0,0,204.0
1,1,1,0,
1,0,0,0,155.0
1,0,0,0,
1,1,1,0,50.0
1,1,0,1,
1,0,1,0,23.0
1,0,1,0,
1,0,1,0,
1,0,1,0,33.0
1,0,1,0,
1,0,1,1,140.0
1,0,1,0,
1,1,0,0,15.0
1,1,1,0,101.0
1,0,1,0,
1,0,1,0,16.0
1,0,0,0,259.0
1,0,1,1,28.0
1,0,0,0,
1,0,0,0,141.0
1,1,0,0,88.0
1,1,1,1,32.0
1,0,0,0,51.0
1,1,0,0,
1,1,0,0,13.0
1,1,1,0,13.0
1,1,1,0,61.0
1,0,1,1,13.0
1,0,0,0,
1,0,1,0,179.0
0,0,0,0,18.0
1,0,0,1,25.0
1,1,0,0,2.0
0,0,0,0,
1,0,1,1,15.0
1,0,0,0,
1,1,1,1,240.0
1,1,0,0,62.0
0,0,1,0,
1,0,0,0,
1,0,1,0,
1,0,0,1,
1,0,1,0,
1,0,1,1,132.0
1,0,1,0,34.0
1,0,1,1,292.0
1,0,1,0,
1,0,1,0,59.0
1,0,0,0,
1,1,0,0,73.0
1,1,1,0,43.0
1,1,1,1,31.0
1,0,1,0,12.0
1,1,1,0,96.0
1,1,0,1,35.0
1,0,1,0,
1,0,1,0,
1,1,0,0,24.0
1,0,1,1,10.0
1,0,1,0,77.0
1,0,0,0,
1,1,1,0,29.0
1,0,1,1,
1,1,1,0,
1,1,1,0,2.0
1,1,1,1,69.0
1,0,0,0,156.0
1,1,1,1,11.0
1,0,1,0,177.0
1,0,1,1,13.0
1,0,0,1,48.0
1,1,1,0,
1,1,0,1,128.0
1,0,1,1,
1,0,1,1,
1,0,1,1,
1,1,0,0,11.0
1,0,1,1,39.0
1,1,1,0,
1,0,1,1,
1,0,1,0,271.0
1,1,1,0,4.0
1,0,1,1,85.0
1,0,1,0,
1,1,1,1,38.0
1,1,1,0,16.0
1,0,1,0,
1,0,1,1,
1,0,1,0,
1,1,0,0,41.0
1,0,0,0,
1,1,1,0,61.0
1,0,0,0,
1,0,1,1,
1,1,1,1,165.0
1,0,1,0,26.0
1,0,1,0,
1,0,1,0,
1,0,1,0,22.0
0,0,1,0,
1,1,1,0,110.0
1,0,1,0,
1,0,1,0,39.0
1,1,1,0,16.0
1,0,1,0,17.0
1,0,1,0,
1,1,1,0,38.0
0,0,0,0,11.0
1,1,0,0,1.0
1,0,1,0,
1,0,1,0,220.0
1,0,1,1,
1,1,1,1,
1,0,0,1,19.0
0,1,1,0,8.0
1,1,1,1,142.0
0,0,1,0,
1,1,1,0,
1,1,1,0,
1,1,1,1,
1,0,1,0,167.0
1,0,1,1,
1,1,1,0,21.0
1,0,1,0,
1,0,1,0,
0,0,1,0,79.0
1,0,0,0,
1,0,0,0,
1,0,1,0,19.0
1,1,1,0,13.0
1,1,1,1,4.0
1,0,1,0,
0,0,1,1,117.0
1,0,0,0,
1,0,1,1,
1,0,0,0,83.0
1,0,1,1,
1,0,0,0,37.0
1,0,0,0,
1,1,1,0,20.0
1,1,1,0,153.0
1,0,1,0,10.0
1,0,1,0,
1,0,0,0,23.0
1,0,1,0,
1,0,1,1,
1,1,0,1,72.0
1,0,0,0,30.0
1,0,0,0,133.0
1,0,0,0,79.0
1,0,0,0,
1,1,1,0,88.0
1,0,0,0,
1,0,1,0,61.0
1,1,1,1,208.0
1,0,1,0,50.0
1,0,1,0,
1,0,1,1,
1,1,1,1,
1,0,1,0,
1,0,1,0,93.0
1,1,0,0,24.0
1,0,1,0,18.0
1,1,1,0,8.0
1,0,1,1,
1,0,0,1,21.0
1,1,1,0,
1,0,0,0,28.0
1,1,1,0,
1,1,1,0,5.0
1,0,1,1,30.0
1,0,1,1,73.0
1,0,1,0,24.0
1,0,1,0,48.0
1,0,0,0,
1,0,0,0,
0,0,1,0,
1,0,0,1,199.0
1,0,1,0,
1,0,1,1,14.0
1,0,1,1,122.0
1,0,1,1,75.0
1,1,1,0,
1,0,1,0,
1,1,1,0,
1,0,0,0,86.0
1,0,0,0,8.0
1,0,1,0,26.0
1,1,1,1,55.0
1,0,0,0,50.0
1,0,0,0,8.0
1,1,1,1,138.0
1,1,0,0,
1,1,1,0,
1,0,1,1,14.0
1,0,0,0,24.0
1,0,0,0,129.0
1,0,1,1,76.0
1,1,1,0,6.0
1,0,1,1,11.0
1,0,1,0,22.0
1,1,1,1,
1,0,1,0,222.0
1,0,0,0,248.0
1,0,1,0,
1,0,1,1,113.0
1,1,1,0,
1,0,1,1,
1,0,1,0,
1,1,1,0,
1,0,1,0,98.0
1,1,1,0,92.0
1,0,1,0,
1,0,1,0,
1,1,0,0,
1,1,1,0,
1,0,1,0,
1,0,1,0,
1,0,1,0,52.0
1,1,1,1,264.0
1,0,1,0,
1,0,1,0,
1,0,0,0,
1,0,1,0,
1,0,1,0,
1,1,1,0,9.0
0,1,1,0,8.0
1,1,1,0,41.0
1,1,1,0,39.0
1,0,1,0,11.0
1,1,1,1,172.0
1,0,1,1,
1,0,1,0,32.0
1,1,1,1,73.0
1,0,1,0,7.0
0,0,1,0,1.0
1,1,1,0,
1,0,1,0,26.0
1,0,1,0,
1,1,1,0,51.0
1,0,1,0,117.0
1,0,1,0,13.0
1,0,1,1,88.0
1,0,1,1,
1,1,1,1,1.0
1,0,0,0,95.0
1,0,1,0,
0,0,1,1,291.0
1,0,1,0,
1,1,1,1,8.0
1,0,1,0,78.0
1,0,1,0,67.0
1,0,1,1,
1,0,1,0,68.0
1,0,1,0,
1,0,0,0,
1,0,1,0,
1,1,1,0,40.0
1,0,1,0,48.0
1,1,0,0,9.0
0,0,1,0,338.0
1,1,1,1,45.0
1,1,0,0,
1,0,1,0,
1,1,0,0,34.0
1,0,1,0,284.0
1,0,1,1,
1,1,1,1,10.0
1,0,0,0,26.0
1,0,1,1,
1,0,1,0,
1,1,1,0,8.0
0,0,1,0,10.0
1,1,1,0,15.0
1,0,1,1,
1,0,1,1,17.0
1,0,1,0,165.0
1,0,1,1,3.0
1,1,1,1,9.0
1,0,1,1,24.0
1,0,1,0,81.0
1,0,0,1,55.0
1,0,0,0,
1,1,1,0,26.0
1,0,1,1,
1,0,0,1,
1,1,0,1,1.0
1,0,1,0,
1,0,0,0,21.0
1,0,1,1,
1,0,0,0,337.0
1,1,0,0,43.0
1,1,1,1,7.0
1,0,1,1,
1,0,1,0,48.0
1,0,0,0,230.0
1,0,0,0,
1,0,0,1,
1,0,1,1,
1,0,1,0,
1,0,1,1,
1,1,0,1,
1,0,1,1,
1,1,1,1,9.0
1,0,0,0,100.0
1,0,1,0,24.0
1,1,1,0,3.0
1,0,1,1,23.0
1,0,1,0,343.0
0,0,1,0,51.0
1,0,1,1,135.0
1,0,1,1,16.0
1,0,1,1,
1,1,0,1,70.0
1,0,1,1,
1,0,0,1,
1,0,1,1,5.0
1,0,1,1,10.0
0,0,1,0,
1,0,1,0,1.0
1,0,1,1,
1,1,1,0,8.0
1,0,0,0,
1,0,1,1,111.0
1,0,1,0,
1,1,1,1,17.0
1,0,0,0,
1,0,0,0,112.0
1,0,1,0,214.0
1,0,1,0,
1,0,1,0,
1,0,1,0,
1,0,1,0,8.0
1,1,0,0,2.0
1,0,0,0,82.0
1,0,1,1,
1,0,0,0,21.0
1,0,1,1,
1,0,1,0,108.0
1,1,1,0,118.0
1,0,1,1,43.0
1,1,1,0,2.0
1,0,1,0,96.0
1,0,1,0,4.0
1,0,0,1,8.0
1,0,1,0,69.0
1,1,1,0,2.0
1,0,0,1,
1,1,1,0,9.0
1,1,1,0,11.0
1,0,1,0,
1,0,1,0,
1,0,1,0,78.0
1,0,1,0,357.0
1,1,0,0,21.0
1,0,1,1,29.0
1,1,1,1,41.0
1,0,1,0,12.0
1,1,1,0,14.0
1,0,1,0,16.0
1,0,1,0,65.0
1,1,1,1,12.0
1,0,0,0,
1,0,1,0,20.0
1,0,1,1,17.0
1,1,1,0,16.0
1,1,1,0,75.0
1,0,1,0,
1,0,1,0,
1,0,0,0,
1,0,0,1,49.0
1,1,1,0,121.0
1,0,1,0,92.0
1,0,1,0,9.0
1,1,1,0,3.0
1,0,0,0,10.0
1,0,1,0,29.0
1,0,1,0,
1,1,1,0,77.0
1,0,1,0,
1,0,1,1,51.0
1,0,0,0,10.0
1,1,0,0,
1,0,0,1,
1,1,1,0,123.0
1,0,1,0,
1,1,1,0,
1,0,0,0,
1,0,1,0,
1,0,1,0,15.0
1,0,1,0,151.0
1,0,0,0,27.0
1,0,1,1,
1,0,0,0,5.0
1,0,0,0,19.0
1,1,0,1,
1,0,0,0,68.0
1,0,1,0,
1,0,1,0,89.0
1,0,1,0,8.0
1,0,1,1,
1,1,1,0,
1,0,1,0,
1,0,1,1,
1,1,1,1,3.0
1,1,1,0,4.0
1,0,0,1,
1,0,1,0,70.0
1,0,1,0,
1,0,1,0,2.0
1,1,0,1,27.0
1,0,1,1,26.0
1,0,1,0,
1,1,0,0,
1,0,1,0,24.0
1,0,1,0,
1,0,1,1,31.0
1,0,0,0,103.0
1,0,1,1,26.0
1,1,0,0,88.0
1,0,0,0,13.0
1,1,1,1,17.0
1,0,1,1,42.0
1,1,1,0,
1,1,1,0,
1,0,0,0,
1,0,1,0,
1,0,1,0,
1,1,1,0,
1,1,1,0,68.0
1,1,1,1,11.0
1,0,1,0,102.0
1,0,1,0,30.0
0,0,1,0,11.0
1,1,0,0,
1,1,1,1,106.0
1,0,1,0,14.0
1,0,1,0,91.0
1,1,1,1,
1,1,1,0,43.0
1,1,1,0,30.0
1,0,1,0,
1,1,1,0,8.0
1,0,1,0,11.0
1,0,1,0,25.0
1,0,1,1,
1,1,1,1,20.0
1,0,0,1,83.0
1,1,1,0,28.0
1,0,1,0,13.0
1,0,1,0,12.0
1,1,1,0,65.0
1,0,0,1,
1,0,1,0,
1,0,0,0,103.0
1,0,1,0,76.0
1,0,1,0,1.0
1,0,1,0,24.0
1,1,1,1,28.0
1,0,1,1,102.0
1,0,1,1,153.0
0,0,0,1,31.0
1,0,1,0,14.0
1,0,0,0,
1,0,1,1,
1,1,1,1,
1,0,1,0,93.0
1,0,1,0,
1,1,1,0,45.0
1,0,1,0,
1,1,1,0,25.0
1,0,1,1,
1,0,1,0,313.0
1,1,0,0,2.0
1,0,1,0,
1,1,0,0,1.0
1,0,0,1,45.0
1,1,1,0,185.0
1,0,0,0,188.0
1,1,0,1,10.0
1,0,1,1,85.0
1,0,1,1,97.0
1,0,1,0,10.0
0,0,0,0,119.0
1,0,1,0,
1,1,0,0,
1,0,1,0,88.0
1,0,1,1,
1,0,1,0,59.0
1,0,1,0,98.0
1,0,0,1,
1,0,0,0,59.0
1,1,0,0,10.0
1,0,1,0,19.0
1,1,1,0,
1,0,1,1,
1,0,1,0,
1,0,1,1,
1,0,1,0,
1,1,1,0,17.0
1,1,1,0,62.0
1,0,0,0,336.0
1,1,0,0,182.0
1,0,1,1,109.0
1,1,1,1,18.0
1,0,1,1,
1,0,1,1,
1,1,0,0,
1,0,1,0,
1,0,1,0,
0,0,1,0,
0,0,1,0,4.0
1,1,1,0,26.0
1,0,1,0,
1,0,1,0,387.0
1,1,1,1,
1,0,1,0,385.0
1,1,1,0,4.0
1,0,1,0,9.0
1,0,1,0,47.0
1,0,1,0,8.0
1,0,1,1,97.0
1,0,1,1,
1,1,1,0,9.0
1,1,1,0,40.0
1,1,1,0,3.0
1,0,0,0,315.0
1,0,0,0,
1,0,1,0,
1,0,0,1,
1,0,1,0,
1,1,1,0,11.0
1,1,0,1,
1,0,0,0,22.0
1,0,1,1,11.0
1,1,0,0,54.0
0,0,1,0,
0,0,1,1,355.0
1,1,1,1,17.0
1,1,1,0,4.0
1,1,1,0,5.0
1,0,1,0,18.0
1,0,1,1,
1,0,1,1,
1,1,1,1,
1,0,1,0,15.0
1,1,0,1,
1,1,1,0,15.0
1,1,1,0,6.0
1,0,1,0,
1,1,1,0,
1,0,1,0,79.0
1,0,1,0,
1,1,0,0,4.0
1,0,0,0,106.0
1,0,1,1,
1,0,0,0,
1,0,0,0,
1,1,1,1,36.0
1,0,1,1,9.0
1,0,0,0,
1,0,0,0,
1,0,1,0,71.0
0,0,1,0,
0,0,1,1,24.0
1,0,1,0,
1,0,0,0,
1,0,1,0,57.0
1,0,0,0,28.0
1,0,1,1,7.0
1,0,0,0,52.0
1,0,0,0,87.0
1,0,1,0,301.0
1,0,1,1,
1,0,1,1,38.0
1,0,1,1,72.0
1,1,1,0,24.0
1,0,0,1,358.0
1,0,0,0,332.0
1,1,1,0,9.0
1,0,0,0,
1,0,0,1,69.0
1,0,1,0,57.0
1,1,0,0,4.0
1,0,1,0,
1,0,0,0,
1,0,1,0,
1,0,0,1,
1,0,0,0,
1,0,1,0,
1,0,1,1,16.0
1,1,0,0,
1,0,1,0,2.0
1,1,1,1,
1,0,1,0,21.0
1,0,0,0,
1,0,0,1,5.0
1,0,1,0,11.0
1,0,1,0,35.0
1,0,1,1,
1,1,1,0,56.0
1,1,0,1,23.0
1,0,1,1,
1,0,1,0,
1,1,1,0,9.0
1,0,0,1,17.0
1,0,0,0,
1,0,1,0,
1,0,1,0,104.0
1,1,1,0,
1,1,1,0,16.0
1,0,0,0,
1,0,1,0,86.0
1,0,0,0,266.0
1,0,1,1,
1,0,1,1,
1,1,1,1,
1,1,0,0,6.0
1,1,0,0,
1,0,1,1,14.0
1,0,1,0,
1,0,1,0,116.0
1,0,0,0,22.0
1,1,0,0,14.0
1,0,0,0,
1,0,1,1,
1,0,1,1,42.0
1,0,1,1,
1,0,1,1,16.0
1,0,1,0,130.0
1,0,1,0,21.0
1,0,1,0,44.0
1,1,1,1,4.0
1,0,1,1,27.0
1,0,0,0,32.0
1,1,0,0,10.0
1,1,1,0,39.0
1,1,1,1,72.0
1,0,1,0,17.0
1,0,1,1,
1,0,0,0,21.0
1,0,1,1,14.0
1,1,1,0,6.0
1,0,0,0,
1,0,1,0,68.0
1,0,1,0,39.0
1,0,1,0,
1,0,1,0,31.0
1,1,1,0,49.0
1,0,0,1,
1,0,0,0,228.0
1,0,1,0,44.0
1,0,1,0,87.0
1,1,1,0,3.0
1,1,1,0,15.0
1,0,1,1,73.0
1,0,0,0,63.0
1,1,1,0,18.0
1,0,0,0,
1,0,1,1,
1,0,1,1,11.0
1,0,1,1,
1,0,1,0,112.0
0,0,0,1,36.0
1,0,1,1,
1,0,1,0,21.0
1,0,1,0,9.0
1,0,1,1,
1,0,0,0,43.0
1,0,1,0,74.0
1,1,1,1,5.0
1,0,1,0,
1,0,0,0,
1,0,0,1,
1,0,1,1,
1,0,1,1,
1,0,1,1,18.0
1,0,1,0,99.0
1,1,0,0,31.0
1,0,1,1,16.0
1,0,1,0,297.0
1,0,1,0,62.0
1,0,0,1,
1,1,1,0,48.0
1,0,0,0,
1,0,1,0,
1,1,1,1,
1,0,0,0,
1,1,1,0,19.0
1,1,1,0,18.0
1,0,0,0,
1,1,1,0,5.0
1,0,1,0,66.0
1,0,1,0,7.0
1,0,0,1,12.0
1,1,1,0,25.0
1,1,0,1,
1,0,0,0,29.0
1,0,1,0,4.0
1,1,1,0,1.0
1,0,1,1,
1,0,1,0,
1,0,1,0,22.0
1,0,1,0,7.0
1,1,1,0,31.0
1,0,1,0,33.0
1,0,0,1,10.0
1,0,1,0,
1,0,1,0,10.0
1,0,0,0,
1,1,0,0,3.0
1,0,1,0,
1,0,1,0,330.0
1,1,1,0,8.0
1,0,1,0,
1,0,0,0,
1,0,0,0,
1,0,0,0,
1,1,1,0,1.0
1,0,1,0,320.0
1,0,1,0,
1,0,1,0,
1,0,1,1,39.0
1,0,0,0,100.0
1,1,1,0,32.0
